question_id,prompt,A,B,C,D,E,answer,difficulty
76,The ziggurats of ancient Mesopotamia most closely resembled the,Vedas of the Aryans,pyramids of the Egyptians,aqueducts of the Romans,pueblos of the Native Americans,pagodas of the Chinese,B,0.57
77,A twentieth-century territorial dispute over control of the province of Kashmir resulted in conflict between India and,Russia,China,Pakistan,Japan,Bangladesh,C,0.43
78,Which of these was NOT true of the pharaohs of ancient Egypt?,They owned most of the kingdom's land.,They were said to become divine after death.,They typically delegated duties to viziers.,They were required to be male.,They were believed to control nature.,D,0.05
79,The opium trade between Britain and China arose primarily due to,lack of Japanese participation in trade,European interest in trading with China,the belief that opium was medicinally beneficial,Chinese desire for European manufactured items,the increasing scarcity of natural resources in Europe,B,0.65
80,How was the Great Schism in Roman Catholicism resolved in the fifteenth century?,Church electors installed a second and third pope.,The Council of Constance chose to recall popes.,Scholars translated the Bible into vernacular English.,Scholasticism changed belief systems in Europe.,The papacy temporarily relocated to Avignon in France.,B,0.13
81,The theology of Judaism MOST differed from other early religions due to its belief in,monotheism,Gnosticism,nihilism,divine right of monarchs,religious rites and rituals,A,0.01
82,What was the primary difference between the artistic movements of romanticism and classicism?,Romanticism alluded to the art and thought of ancient civilizations.,Romanticism stressed the importance of feelings and emotions.,Classicism was inspired by the forms and essences of nature.,Romanticism was founded on principles of reason and rationale.,Classicism rejected science and symmetry in its compositions.,B,0.53
83,Which of these was an important virtue in Daoism?,Focusing on secular advancement,Fostering community-mindedness,Separating spirituality from culture,Adhering to strict moral duties,Eliminating all earthly desires,E,0.2
84,The Rosetta stone was important in,understanding currency and trade rates in ancient North Africa,deciphering Egyptian hieroglyphics using Greek translations,tracing the milestones of Roman occupation in Southwest Asia,translating written inscriptions in the Linear A and B forms,providing a written record of the laws of ancient Mesopotamia,B,0.03
85,Pope Benedict VIII made a lasting change to Roman Catholic doctrine in 1022 when he passed a declaration that,instituted a celibacy requirement for clergy,forbade the sale of indulgences to laymen,instituted the practice of selling church offices,forbade the use of torture during inquisitions,instituted the practice of electing multiple popes,A,0.05
86,Which ancient civilization most likely pioneered the production and use of iron around 2500 BCE?,Persians,Hebrews,Hittites,Babylonians,Sumerians,C,0.33
87,The individual political struggles of Nelson Mandela and Mahatma Gandhi were MOST similar in that they,worked to secure the independence of their nations from colonial rule,fought against oppressive governments that encouraged racism,eventually became high-ranking officials in their governments,protested injustice through prolonged hunger strikes,founded militant revolutionary organizations,B,0.72
88,"By the year 1100 CE, the strongest Norman influence was felt in which modern regions?","Norway, Sweden, and England",Africa and the Mediterranean,Russia and the Baltic region,"Germany, Austria, and Italy","England, Italy, and France",E,0.35
89,"The Paleolithic Era was distinguished by the use of stone tools, while the Neolithic Era was distinguished by",metalworking capabilities,cavalry as part of warfare,advanced architectural construction,advances in agriculture,marked empire building,D,0.15
90,"The medieval cities of Venice, Italy, and Tenochtitlán, Mexico, were MOST similar in that they","hosted populations of about 400,000 citizens",served as major seaports for international trade,were sacked by invaders in the sixteenth century,prospered because of their industrial capacities,were constructed on top of islands,E,0.17
91,Which of these is the BEST example of the practice known as total war?,Extension of armed conflict beyond traditional land battles into the sea and air,Use of extensive espionage and reconnaissance networks within enemy territory,Use of cutting-edge technology and propaganda to influence public sentiments,Bombing of civilian centers to destroy an enemy's ability to continue fighting,Inability to end a conflict without the complete destruction of the enemy's army,D,0.11
92,"""Respectfulness, without the rules of propriety, becomes laborious bustle; carefulness, without the rules of propriety, becomes timidity; boldness, without the rules of propriety, becomes insubordination; straightforwardness, without the rules of propriety, becomes rudeness."" The above excerpt expresses the viewpoint of",Machiavelli,Socrates,Erasmus,Confucius,Lao Tzu,D,0.19
93,Which of these statements about the practice of slavery in ancient and medieval civilizations is NOT true?,Slavery was rarely pursued among hunter-gatherer populations.,Enslaved people were put to work in a wide variety of occupations.,Slavery existed within Africa before European colonization.,Enslaved people were important to ancient Greece and Rome.,Enslaved people were almost exclusively black Africans.,E,0.74
95,The main goal of the 1848 meeting among liberal leaders in Frankfurt am Main was to,destroy the autonomy of the German states,win political favors from German princes,abolish the system of hereditary monarchy,promote the unification of German states,overthrow Frederick William of Prussia,D,0.97
96,European imperialist powers competed for influence in Egypt during the nineteenth century primarily because of the,importance of the Suez Canal,desire to exploit the Nile River valley,ease of moving armies through Egypt,interest in utilizing industrial capabilities,abundance of labor and resources,A,0.61
97,Which of these religions does NOT view the state of nirvana as the ultimate spiritual goal?,Buddhism,Hinduism,Islam,Jainism,Sikhism,C,0.28
98,"The White Lotus society, most active in China between the seventeenth and twentieth centuries, is BEST characterized as a",civilian militia,religious sect,Manchu tribe,political party,economic alliance,B,0.64
99,Which two countries did James I rule concurrently from 1603 to 1625?,England and France,England and Wales,England and Scotland,Denmark and Norway,Ireland and Scotland,C,0.56
100,Which of these was the MOST significant accomplishment of the Phoenician civilization?,Creation of intricate and accessible legal codes,Discovery of significant celestial bodies,Development of the idea of compensatory damages,Study of the stars and their relationship to the zodiac,Invention of an alphabet for syllabic writing,E,0.24
101,The nation called Ceylon by British colonizers became known in the postcolonial period as,Sri Lanka,Cambodia,Laos,Bhutan,Myanmar,A,0.62
102,"""We intend to begin on the first of February unrestricted submarine warfare. We shall endeavor in spite of this to keep the United States of America neutral. In the event of this not succeeding, we make Mexico a proposal of alliance on the following basis: make war together, make peace together, generous financial support and an understanding on our part that Mexico is to reconquer the lost territory in Texas, New Mexico, and Arizona."" In what document did the above excerpt originally appear?",The Communist Manifesto,Final Solution,Five-Year Plan,Zimmermann telegram,Schlieffen Plan,D,0.82
103,All of these led to the Industrial Revolution in Britain EXCEPT a,consumerist society,number of technological advancements,decrease in the agricultural workforce,lack of being a colonial power,major international trading partner,D,0.33
104,The Taiping Rebellion was similar to the communist takeover in China in that both events,were generally unaffected by religious doctrine,originated from radical Marxist political views,were driven by discontent with the Versailles Treaty,involved minimal physical conflict and bloodshed,called for the equal distribution of property and rights,E,0.65
105,Which world calendar was created most recently?,Julian calendar,Egyptian calendar,Coptic calendar,Gregorian calendar,Mayan calendar,D,0.03
106,The actions of the Luddites MOST strongly supported the social perspective that,hereditary nobility is ordained by a divine power,freedom of religion could not exist in monarchical government,traditional gender roles are the foundation of a healthy economy,public education should be limited to the higher classes,industrial technology may be a detriment to workers,E,0.24
107,The medieval African emperor Mansa Musa was most notable for his,cruelty to ambassadors from neighboring lands,frequent violent incursions into Europe,role in establishing the Atlantic slave trade,opulence and enrichment of Timbuktu,religious fervor and support of Christianity,D,0.2
108,The Silk Roads were indirectly responsible for spreading,slavery in Europe,diseases in Africa,Buddhism in China,socialism in Asia,manorialism in India,C,0.58
109,"Which system of writing was primarily used in the languages of Hindi, Sanskrit, and Nepali?",Arabic,Cuneiform,Latin,Cyrillic,Devanagari,E,0.21
111,Captain James Cook contributed most significantly to the power of the British Empire by,leading a British campaign in the Seven Years' War,defeating French forces at Quebec,claiming Australia for the British crown,legislating for increased British industrialism,negotiating British control in India,C,0.32
113,"In the twentieth century, Manfred von Richthofen came to be generally recognized as a symbol of the",excesses of landed aristocracy,spread of colonial expansionism,last vestiges of military chivalry,desire to separate church from state,movement for German unification,C,0.34
114,"""O, my brothers, love your Country!?It is only through our country that we can have a recognized collective existence?Let each man among you strive to incarnate his country in himself. Let each man among you regard himself as a guarantor, responsible for his fellow-countrymen, and learn so to govern his actions as to cause his country to be loved and respected through him."" Which theory is best exemplified in this excerpt from the work of Giuseppe Mazzini?",Absolutism,Conservatism,Utilitarianism,Nationalism,Liberalism,D,0.43
115,Which philosopher died after being convicted of corrupting the youth of Athens in 399 BCE?,Xenophon,Socrates,Plato,Aristotle,Heracleides Ponticus,B,0.92
116,Mumbai was a world leader in which industry during the middle of the nineteenth century?,Silk production,Cotton textiles,Opium manufacture,Slave trade,Spice trade,B,0.26
117,The primary result of the Third Crusade was the,Muslim sacking of Constantinople,removal of Islamic rule in Spain,Christian failure to regain Jerusalem,foundation of the Latin Empire,Christian capture of Jerusalem,C,0.22
118,All of these took place in Brazil during the reign of Pedro II (1831-89) EXCEPT a/an,"backlash against the ""coffee government""",focus on producing coffee instead of sugar,abolition of slavery throughout Brazil,modernizing of railroads and telegraphs,military coup that overthrew the monarchy,A,0.71
119,Which of these leaders was MOST influential in the establishment of an Islamic government in modern Iran?,Reza Shah Pahlavi,Nader Shah Afshar,Ayatollah Ruh ?allah Khomeyni,Mohammad Reza Shah Pahlavi,agha Moh ?ammad Khan,C,0.54
120,"In African tradition, elaborately carved and decorated wooden masks are most likely to be employed during",ceremonies of spirits and religion,tribal battles and other warfare,family gatherings and clan meetings,theatrical and social entertainments,trade and diplomatic missions,A,0.78
121,"In 212 CE, Roman citizenship was extended to",slaves and indentured servants,all free inhabitants of the Republic,all military personnel and veterans,educated native-born landowners,all free inhabitants of the empire,E,0.34
122,The events that took place at Masada in 72-73 CE showed that the early Jews of Israel were,great reformers in economy and society,fierce conquerors of opposing kingdoms,mediators of conflicts between neighbors,determined defenders of their homeland,enlightened scholars of philosophy,D,0.22
123,Which of these shows the correct chronological order in which different types of metals were discovered and used?,"Bronze, iron, steel, copper","Copper, bronze, iron, steel","Iron, steel, copper, bronze","Steel, copper, iron, bronze","Bronze, copper, steel, iron",B,0.63
124,London was originally developed from a village into a major walled city by the,"Vikings, circa 865 CE","Normans, circa 1066 CE","Anglo-Saxons, circa 670 CE","Celts, circa 50 BCE","Romans, circa 43 CE",E,0.53
125,The kingdom of Great Zimbabwe was most notable in the African Iron Age for its extensive system of,military formations,walls and stonework,ports and markets,silver mines,salt mines,B,0.38
126,The Russo-Japanese War became the first event in modern history in which,colonial and imperial ambitions led to armed conflict,an Asian nation achieved victory over a European power,two major world powers clashed over territory,a conflict took place simultaneously on the land and sea,territory rather than ideology was the motivating factor,B,0.85
127,The writings of Charles Dickens were BEST known for their criticism of,apparent hypocrisy in religious ethics,universal suffrage movements,British colonial ambitions and trade,economic inequality and poverty,racist practices and world slavery,D,0.43
128,"In ancient times, the most common route for the Chinese to trade with the Roman Empire and Europe was",Via Maris,Silk Roads,Appian Way,Middle Passage,King's Highway,B,0.46
129,"The Four Noble Truths, traditionally believed to have been articulated by the Buddha in his first sermon after enlightenment, include all of the following EXCEPT",suffering is caused by desire and other negative actions,dissemination of beliefs is necessary to a religion,human life is inevitably filled with sorrow,nirvana may be reached via the path of the Middle Way,cessation of desires can lead to the peace of nirvana,B,0.6
130,"Chinese leader Kublai Khan was known for all of the following, EXCEPT",introducing Buddhism to China,completing the Mongol conquest of China,establishing a capital city in Beijing,serving as host and benefactor to Marco Polo,launching unsuccessful invasions of Japan,A,0.74
131,"In seventeenth-century Holland, a major economic bubble resulted from speculative frenzy over the sale of",artwork,religious relics,Chinese silks,houses,tulips,E,0.11
133,Which of these was the primary obstacle to French construction of the Panama Canal in the 1880s?,Diseases carried by mosquitoes,Negotiations with labor unions,Encroachments by the British,Conflicts with the natives,Battles of the Spanish-American War,A,0.8
134,"The Chinese concept of  t'ien ming, or mandate of heaven, most closely resembled the European ideal of",indentured labor,feudal manorialism,"the ""city on the hill""",divine right of kings,royal appanage,D,0.31
135,Which of these does NOT describe one of the reasons Mexico declined an alliance with Germany during World War I?,British blockades would prevent armament shipments to Mexico.,Americans in former Mexican territories would refuse to assimilate.,Mexican ships felt too threatened by German U-boats.,Attacking the United States would endanger South American alliances.,The United States would be too powerful an enemy for Mexico.,C,0.4
136,Ancient imperialism MOST differed from modern imperialism in that,modern imperialism focuses more on taxation of conquered people,ancient imperialism was undertaken mostly by Britain and France,modern imperialism has generally involved very few nations,ancient imperialism focused more strongly on Asia and Africa,modern imperialism is focused primarily on industrialist pursuits,E,0.29
137,The Songhai Empire in Western Africa collapsed in 1591 as an immediate result of,attempts to promote trade on the Niger River,an invasion by Morocco into the Songhai territory,fluctuations in the trading of gold and salt,conflict between Islam and traditional religions,the conquering of Gao by the Mali Empire,B,0.66
138,Alchemy is best defined as the practice of,paying reparations for damages caused by warfare,banning religious services in a particular region,making a government's political processes transparent,manufacturing interchangeable parts on assembly lines,attempting to transform metals and find immortality,E,0.04
139,The 1955 Warsaw Pact created a communist counterbalance to the,European Union,United Nations,Union of Soviet Socialist Republics,European Economic Community,North Atlantic Treaty Organization,E,0.65
140,"The Zapatista National Liberation Army, which arose in Mexico in the 1990s, chose the name Zapatista to evoke the",glories of Mexican monarchs,spirit of peasant rebellion,fervor of Islamic extremists,plight of migrant workers,anger of South American warriors,B,0.76
141,The Aztec built their capital city Tenochtitlán on an island in the middle of Lake Texcoco primarily because the site,was ideally located for trade purposes,provided protection from outside attackers,fulfilled a prophecy about where they should settle,was rich with natural deposits of gold and other minerals,was sacred to the people conquered by the Aztec,C.,0.6
142,Early civilizations in Mesopotamia and Egypt were MOST similar in that they both,developed a code of retaliatory punishment,viewed women as socially equal to men,developed a government of separate city-states,were invaded and occupied by the Hyksos,depended on the annual flooding of a river for survival,E.,0.03
